Name,Set Name,Number,Type,HP,Stage,Rarity,Description,Have,Holo
Pikachu,Wizards Black Star Promos,1,Lightning,60,Basic,,,,-
Electabuzz,Wizards Black Star Promos,2,Lightning,60,Basic,,,,-
Mewtwo,Wizards Black Star Promos,3,Psychic,70,Basic,,,,-
Pikachu,Wizards Black Star Promos,4,Lightning,50,Basic,,,,-
Dragonite,Wizards Black Star Promos,5,Colorless,90,Stage 2,,,,-
Arcanine,Wizards Black Star Promos,6,Fire,70,Stage 1,,,,-
Jigglypuff,Wizards Black Star Promos,7,Colorless,70,Basic,,,,-
Mew,Wizards Black Star Promos,8,Psychic,50,Basic,,,,-
Mew,Wizards Black Star Promos,9,Psychic,50,Basic,,,,-
Meowth,Wizards Black Star Promos,10,Colorless,50,Basic,,,,-
Meowth,Wizards Black Star Promos,10,Colorless,50,Basic,,Non Holofoil,,-
Eevee,Wizards Black Star Promos,11,Colorless,30,Basic,,,,-
Eevee,Wizards Black Star Promos,11,Colorless,30,Basic,,Non Holofoil,,-
Mewtwo,Wizards Black Star Promos,12,Psychic,60,Basic,,,,-
Mewtwo,Wizards Black Star Promos,12,Psychic,60,Basic,,Japanese Card Stock,,-
Venusaur,Wizards Black Star Promos,13,Grass,100,Stage 2,,,,-
Mewtwo,Wizards Black Star Promos,14,Psychic,70,Basic,,,,-
Cool Porygon,Wizards Black Star Promos,15,Colorless,50,Basic,,,,-
Computer Error,Wizards Black Star Promos,16,Trainer,,Trainer,,,,-
Dark Persian,Wizards Black Star Promos,17,Colorless,60,Stage 1,,,,-
Team Rocket's Meowth,Wizards Black Star Promos,18,Colorless,40,Basic,,,,-
Sabrina's Abra,Wizards Black Star Promos,19,Psychic,40,Basic,,,,-
Psyduck,Wizards Black Star Promos,20,Water,50,Basic,,,,-
Moltres,Wizards Black Star Promos,21,Fire,70,Basic,,,,-
Articuno,Wizards Black Star Promos,22,Water,70,Basic,,,,-
Zapdos,Wizards Black Star Promos,23,Lightning,70,Basic,,,,-
___________'s Pikachu,Wizards Black Star Promos,24,Lightning,50,Basic,,,,-
Flying Pikachu,Wizards Black Star Promos,25,Lightning,40,Basic,,,,-
Pikachu,Wizards Black Star Promos,26,Lightning,40,Basic,,,,-
Pikachu,Wizards Black Star Promos,27,Lightning,30,Basic,,,,-
Surfing Pikachu,Wizards Black Star Promos,28,Lightning,50,Basic,,,,-
Marill,Wizards Black Star Promos,29,Water,50,Basic,,,,-
Togepi,Wizards Black Star Promos,30,Colorless,30,Basic,,,,-
Cleffa,Wizards Black Star Promos,31,Colorless,30,Baby,,,,-
Smeargle,Wizards Black Star Promos,32,Colorless,40,Basic,,,,-
Scizor,Wizards Black Star Promos,33,Metal,70,Stage 1,,,,-
Entei,Wizards Black Star Promos,34,Fire,80,Basic,,,,-
Pichu,Wizards Black Star Promos,35,Lightning,30,Baby,,,,-
Igglybuff,Wizards Black Star Promos,36,Colorless,30,Baby,,,,-
Hitmontop,Wizards Black Star Promos,37,Fighting,60,Basic,,,,-
Unown [J],Wizards Black Star Promos,38,Psychic,40,Basic,,,,-
Misdreavus,Wizards Black Star Promos,39,Psychic,50,Basic,,,,-
Pokémon Center,Wizards Black Star Promos,40,Trainer,,Trainer,,,,-
Lucky Stadium,Wizards Black Star Promos,41,Trainer,,Stadium,,,,-
Pokémon Tower,Wizards Black Star Promos,42,Trainer,,Stadium,,,,-
Machamp,Wizards Black Star Promos,43,Fighting,90,Stage 2,,,,-
Magmar,Wizards Black Star Promos,44,Fire,60,Basic,,,,-
Scyther,Wizards Black Star Promos,45,Grass,60,Basic,,,,-
Electabuzz,Wizards Black Star Promos,46,Lightning,60,Basic,,,,-
Mew,Wizards Black Star Promos,47,Psychic,40,Basic,,,,-
Articuno,Wizards Black Star Promos,48,Water,80,Basic,,,,-
Snorlax,Wizards Black Star Promos,49,Colorless,90,Basic,,,,-
Celebi,Wizards Black Star Promos,50,Grass,50,Basic,,,,-
Rapidash,Wizards Black Star Promos,51,Fire,60,Stage 1,,,,-
Rapidash,Wizards Black Star Promos,51,Fire,60,Stage 1,,Pokémon Center NY Stamp,,-
Ho-Oh,Wizards Black Star Promos,52,Fire,80,Basic,,,,-
Ho-Oh,Wizards Black Star Promos,52,Fire,80,Basic,,Pokémon Center NY Stamp,,-
Suicune,Wizards Black Star Promos,53,Water,70,Basic,,,,-
Kyogre ex,Nintendo Black Star Promos,1,Water,120,Basic,,Non Holofoil,,-
Kyogre ex,Nintendo Black Star Promos,1,Water,120,Basic,,Holofoil,,-
Groudon ex,Nintendo Black Star Promos,2,Fighting,120,Basic,,Non Holofoil,,-
Groudon ex,Nintendo Black Star Promos,2,Fighting,120,Basic,,Holofoil,,-
Treecko,Nintendo Black Star Promos,3,Grass,40,Basic,,,,-
Grovyle,Nintendo Black Star Promos,4,Grass,70,Stage 1,,Winner Stamp,,-
Mudkip,Nintendo Black Star Promos,5,Water,50,Basic,,,,-
Torchic,Nintendo Black Star Promos,6,Fire,40,Basic,,,,-
Treecko,Nintendo Black Star Promos,7,Grass,40,Basic,,,,-
Torchic,Nintendo Black Star Promos,8,Fire,40,Basic,,,,-
Combusken,Nintendo Black Star Promos,9,Fire,70,Stage 1,,Winner Stamp,,-
Mudkip,Nintendo Black Star Promos,10,Water,50,Basic,,,,-
Marshtomp,Nintendo Black Star Promos,11,Water,70,Stage 1,,Winner Stamp,,-
Pikachu,Nintendo Black Star Promos,12,Lightning,50,Basic,,,,-
Pikachu,Nintendo Black Star Promos,12,Lightning,50,Basic,,Non Holofoil,,-
Meowth,Nintendo Black Star Promos,13,Colorless,50,Basic,,,,-
Meowth,Nintendo Black Star Promos,13,Colorless,50,Basic,,Non Holofoil,,-
Latias,Nintendo Black Star Promos,14,Colorless,70,Basic,,,,-
Latios,Nintendo Black Star Promos,15,Colorless,80,Basic,,,,-
Treecko,Nintendo Black Star Promos,16,Grass,40,Basic,,Non Holofoil,,-
Treecko,Nintendo Black Star Promos,16,Grass,40,Basic,,Cosmos Holofoil,,-
Torchic,Nintendo Black Star Promos,17,Fire,50,Basic,,Non Holofoil,,-
Torchic,Nintendo Black Star Promos,17,Fire,50,Basic,,Cosmos Holofoil,,-
Mudkip,Nintendo Black Star Promos,18,Water,50,Basic,,Non Holofoil,,-
Mudkip,Nintendo Black Star Promos,18,Water,50,Basic,,Cosmos Holofoil,,-
Whismur,Nintendo Black Star Promos,19,Colorless,50,Basic,,Non Holofoil,,-
Whismur,Nintendo Black Star Promos,19,Colorless,50,Basic,,Cosmos Holofoil,,-
Ludicolo,Nintendo Black Star Promos,20,Water,90,Stage 2,,,,-
Jirachi,Nintendo Black Star Promos,21,Psychic,50,Basic,,,,-
Beldum,Nintendo Black Star Promos,22,Metal,50,Basic,,,,-
Beldum,Nintendo Black Star Promos,22,Metal,50,Basic,,Winner Stamp,,-
Metang,Nintendo Black Star Promos,23,Metal,80,Stage 1,,,,-
Chimecho,Nintendo Black Star Promos,24,Psychic,70,Basic,,,,-
Chimecho,Nintendo Black Star Promos,24,Psychic,70,Basic,,Winner Stamp,,-
Flygon,Nintendo Black Star Promos,25,Colorless,120,Stage 2,,,,-
Flygon,Nintendo Black Star Promos,25,Colorless,120,Stage 2,,Winner Stamp,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Wind,Nintendo Black Star Promos,26,Trainer,,Trainer,,Staff Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,27,Trainer,,Trainer,,Staff Stamp,,-
Championship Arena,Nintendo Black Star Promos,28,Trainer,,Stadium,,,,-
Celebi,Nintendo Black Star Promos,29,Grass,50,Basic,,,,-
Suicune,Nintendo Black Star Promos,30,Water,70,Basic,,,,-
Moltres ex,Nintendo Black Star Promos,31,Fire,100,Basic,,,,-
Articuno ex,Nintendo Black Star Promos,32,Water,100,Basic,,,,-
Zapdos ex,Nintendo Black Star Promos,33,Lightning,100,Basic,,,,-
Typhlosion,Nintendo Black Star Promos,34,Fire,110,Stage 2,,,,-
Pikachu (Delta Species),Nintendo Black Star Promos,35,Metal,40,Basic,,,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Tidal Wave,Nintendo Black Star Promos,36,Trainer,,Trainer,,Staff Stamp,,-
Kyogre ex,Nintendo Black Star Promos,37,Water,100,Basic,,,,-
Groudon ex,Nintendo Black Star Promos,38,Fighting,100,Basic,,,,-
Rayquaza ex,Nintendo Black Star Promos,39,Colorless,100,Basic,,,,-
Mew,Nintendo Black Star Promos,40,Psychic,50,Basic,,,,-
Turtwig,DP Black Star Promos,DP01,Grass,60,Basic,,,,-
Chimchar,DP Black Star Promos,DP02,Fire,50,Basic,,,,-
Piplup,DP Black Star Promos,DP03,Water,60,Basic,,,,-
Pachirisu,DP Black Star Promos,DP04,Lightning,70,Basic,,,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP05,Trainer,,Trainer,,Staff Stamp,,-
Buneary,DP Black Star Promos,DP06,Colorless,50,Basic,,,,-
Cranidos,DP Black Star Promos,DP07,Fighting,70,Stage 1,,,,-
Shieldon,DP Black Star Promos,DP08,Metal,80,Stage 1,,,,-
Torterra Lv.X,DP Black Star Promos,DP09,Grass,160,Level Up,,,,-
Infernape Lv.X,DP Black Star Promos,DP10,Fire,120,Level Up,,,,-
Empoleon Lv.X,DP Black Star Promos,DP11,Water,140,Level Up,,,,-
Lucario Lv.X,DP Black Star Promos,DP12,Fighting,110,Level Up,,,,-
Buizel,DP Black Star Promos,DP13,Water,60,Basic,,,,-
Chatot,DP Black Star Promos,DP14,Colorless,60,Basic,,,,-
Shinx,DP Black Star Promos,DP15,Lightning,60,Basic,,,,-
Pikachu,DP Black Star Promos,DP16,Lightning,60,Basic,,,,-
Dialga Lv.X,DP Black Star Promos,DP17,Metal,110,Level Up,,,,-
Palkia Lv.X,DP Black Star Promos,DP18,Water,120,Level Up,,,,-
Darkrai Lv.X,DP Black Star Promos,DP19,Darkness,100,Level Up,,,,-
Magmortar,DP Black Star Promos,DP20,Fire,100,Stage 1,,,,-
Raichu,DP Black Star Promos,DP21,Lightning,90,Stage 1,,,,-
Mime Jr.,DP Black Star Promos,DP22,Psychic,40,Basic,,,,-
Glameow,DP Black Star Promos,DP23,Colorless,50,Basic,,,,-
Darkrai,DP Black Star Promos,DP24,Darkness,80,Basic,,,,-
Darkrai,DP Black Star Promos,DP24,Darkness,80,Basic,,Non Holofoil,,-
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,,,-
