Name,Set Name,Number,Type,HP,Stage,Rarity,1st Edition,Shadowless,Unlimited,Rev Holo,Additional
Alakazam,Base Set,1,Psychic,80,Stage 2,Holo Rare,,,,-,
Blastoise,Base Set,2,Water,100,Stage 2,Holo Rare,,,,-,
Chansey,Base Set,3,Colorless,120,Basic,Holo Rare,,,,-,
Charizard,Base Set,4,Fire,120,Stage 2,Holo Rare,,,,-,
Clefairy,Base Set,5,Colorless,40,Basic,Holo Rare,,,,-,
Gyarados,Base Set,6,Water,100,Stage 1,Holo Rare,,,,-,
Hitmonchan,Base Set,7,Fighting,70,Basic,Holo Rare,,,,-,
Machamp,Base Set,8,Fighting,100,Stage 2,Holo Rare,,-,,-,
Magneton,Base Set,9,Lightning,60,Stage 1,Holo Rare,,,,-,
Mewtwo,Base Set,10,Psychic,60,Basic,Holo Rare,,,,-,
Nidoking,Base Set,11,Grass,90,Stage 2,Holo Rare,,,,-,
Ninetales,Base Set,12,Fire,80,Stage 1,Holo Rare,,,,-,
Poliwrath,Base Set,13,Water,90,Stage 2,Holo Rare,,,,-,
Raichu,Base Set,14,Lightning,80,Stage 1,Holo Rare,,,,-,
Venusaur,Base Set,15,Grass,100,Stage 2,Holo Rare,,,,-,
Zapdos,Base Set,16,Lightning,90,Basic,Holo Rare,,,,-,
Beedrill,Base Set,17,Grass,80,Stage 2,Rare,,,,-,
Dragonair,Base Set,18,Colorless,80,Stage 1,Rare,,,,-,
Dugtrio,Base Set,19,Fighting,70,Stage 1,Rare,,,,-,
Electabuzz,Base Set,20,Lightning,70,Basic,Rare,,,,-,
Electrode,Base Set,21,Lightning,80,Stage 1,Rare,,,,-,
Pidgeotto,Base Set,22,Colorless,60,Stage 1,Rare,,,,-,
Arcanine,Base Set,23,Fire,100,Stage 1,Uncommon,,,,-,
Charmeleon,Base Set,24,Fire,80,Stage 1,Uncommon,,,,-,
Dewgong,Base Set,25,Water,80,Stage 1,Uncommon,,,,-,
Dratini,Base Set,26,Colorless,40,Basic,Uncommon,,,,-,
Farfetch'd,Base Set,27,Colorless,50,Basic,Uncommon,,,,-,
Growlithe,Base Set,28,Fire,60,Basic,Uncommon,,,,-,
Haunter,Base Set,29,Psychic,60,Stage 1,Uncommon,,,,-,
Ivysaur,Base Set,30,Grass,60,Stage 1,Uncommon,,,,-,
Jynx,Base Set,31,Psychic,70,Basic,Uncommon,,,,-,
Kadabra,Base Set,32,Psychic,60,Stage 1,Uncommon,,,,-,
Kakuna,Base Set,33,Grass,80,Stage 1,Uncommon,,,1,-,
Machoke,Base Set,34,Fighting,80,Stage 1,Uncommon,,,,-,
Magikarp,Base Set,35,Water,30,Basic,Uncommon,,,,-,
Magmar,Base Set,36,Fire,50,Basic,Uncommon,,,,-,
Nidorino,Base Set,37,Grass,60,Stage 1,Uncommon,,,,-,
Poliwhirl,Base Set,38,Water,60,Stage 1,Uncommon,,,,-,
Porygon,Base Set,39,Colorless,30,Basic,Uncommon,,,,-,
Raticate,Base Set,40,Colorless,60,Stage 1,Uncommon,,,,-,
Seel,Base Set,41,Water,60,Basic,Uncommon,,,,-,
Wartortle,Base Set,42,Water,70,Stage 1,Uncommon,,,,-,
Abra,Base Set,43,Psychic,30,Basic,Common,,,,-,
Bulbasaur,Base Set,44,Grass,40,Basic,Common,,,,-,
Caterpie,Base Set,45,Grass,40,Basic,Common,,,,-,
Charmander,Base Set,46,Fire,50,Basic,Common,,,,-,
Diglett,Base Set,47,Fighting,30,Basic,Common,,,,-,
Doduo,Base Set,48,Colorless,50,Basic,Common,,,,-,
Drowzee,Base Set,49,Psychic,50,Basic,Common,,,,-,
Gastly,Base Set,50,Psychic,30,Basic,Common,,,,-,
Koffing,Base Set,51,Grass,50,Basic,Common,,,,-,
Machop,Base Set,52,Fighting,50,Basic,Common,,,,-,
Magnemite,Base Set,53,Lightning,40,Basic,Common,,,,-,
Metapod,Base Set,54,Grass,70,Stage 1,Common,,,,-,
Nidoran M,Base Set,55,Grass,40,Basic,Common,,,,-,
Onix,Base Set,56,Fighting,90,Basic,Common,,,,-,
Pidgey,Base Set,57,Colorless,40,Basic,Common,,,,-,
Pikachu,Base Set,58,Lightning,40,Basic,Common,,,,-,
Poliwag,Base Set,59,Water,40,Basic,Common,,,,-,
Ponyta,Base Set,60,Fire,40,Basic,Common,,,,-,
Rattata,Base Set,61,Colorless,30,Basic,Common,,,,-,
Sandshrew,Base Set,62,Fighting,40,Basic,Common,,,,-,
Squirtle,Base Set,63,Water,40,Basic,Common,,,,-,
Starmie,Base Set,64,Water,60,Stage 1,Common,,,,-,
Staryu,Base Set,65,Water,40,Basic,Common,,,,-,
Tangela,Base Set,66,Grass,50,Basic,Common,,,,-,
Voltorb,Base Set,67,Lightning,40,Basic,Common,,,,-,
Vulpix,Base Set,68,Fire,50,Basic,Common,,,,-,
Weedle,Base Set,69,Grass,40,Basic,Common,,,,-,
Clefairy Doll,Base Set,70,Trainer,,Trainer,Rare,,,,-,
Computer Search,Base Set,71,Trainer,,Trainer,Rare,,,,-,
Devolution Spray,Base Set,72,Trainer,,Trainer,Rare,,,,-,
Imposter Professor Oak,Base Set,73,Trainer,,Trainer,Rare,,,,-,
Item Finder,Base Set,74,Trainer,,Trainer,Rare,,,,-,
Lass,Base Set,75,Trainer,,Trainer,Rare,,,,-,
Pokémon Breeder,Base Set,76,Trainer,,Trainer,Rare,,,,-,
Pokémon Trader,Base Set,77,Trainer,,Trainer,Rare,,,,-,
Scoop Up,Base Set,78,Trainer,,Trainer,Rare,,,,-,
Super Energy Removal,Base Set,79,Trainer,,Trainer,Rare,,,,-,
Defender,Base Set,80,Trainer,,Trainer,Uncommon,,,,-,
Energy Retrieval,Base Set,81,Trainer,,Trainer,Uncommon,,,,-,
Full Heal,Base Set,82,Trainer,,Trainer,Uncommon,,,,-,
Maintenance,Base Set,83,Trainer,,Trainer,Uncommon,,,,-,
PlusPower,Base Set,84,Trainer,,Trainer,Uncommon,,,,-,
Pokémon Center,Base Set,85,Trainer,,Trainer,Uncommon,,,,-,
Pokémon Flute,Base Set,86,Trainer,,Trainer,Uncommon,,,,-,
Pokédex,Base Set,87,Trainer,,Trainer,Uncommon,,,,-,
Professor Oak,Base Set,88,Trainer,,Trainer,Uncommon,,,,-,
Revive,Base Set,89,Trainer,,Trainer,Uncommon,,,,-,
Super Potion,Base Set,90,Trainer,,Trainer,Uncommon,,,,-,
Bill,Base Set,91,Trainer,,Trainer,Common,,,,-,
Energy Removal,Base Set,92,Trainer,,Trainer,Common,,,,-,
Gust of Wind,Base Set,93,Trainer,,Trainer,Common,,,,-,
Potion,Base Set,94,Trainer,,Trainer,Common,,,,-,
Switch,Base Set,95,Trainer,,Trainer,Common,,,,-,
Double Colorless Energy,Base Set,96,Energy,,Special Energy,Uncommon,,,,-,
Fighting Energy,Base Set,97,Energy,,Energy,Common,,,,-,
Fire Energy,Base Set,98,Energy,,Energy,Common,,,,-,
Grass Energy,Base Set,99,Energy,,Energy,Common,,,,-,
Lightning Energy,Base Set,100,Energy,,Energy,Common,,,,-,
Psychic Energy,Base Set,101,Energy,,Energy,Common,,,,-,
Water Energy,Base Set,102,Energy,,Energy,Common,,,,-,
Clefable,Jungle,1,Colorless,70,Stage 1,Holo Rare,,-,,-,
Electrode,Jungle,2,Lightning,90,Stage 1,Holo Rare,,-,,-,
Flareon,Jungle,3,Fire,70,Stage 1,Holo Rare,,-,,-,
Jolteon,Jungle,4,Lightning,70,Stage 1,Holo Rare,,-,,-,
Kangaskhan,Jungle,5,Colorless,90,Basic,Holo Rare,,-,,-,
Mr. Mime,Jungle,6,Psychic,40,Basic,Holo Rare,,-,,-,
Nidoqueen,Jungle,7,Grass,90,Stage 2,Holo Rare,,-,,-,
Pidgeot,Jungle,8,Colorless,80,Stage 2,Holo Rare,,-,,-,
Pinsir,Jungle,9,Grass,60,Basic,Holo Rare,,-,,-,
Scyther,Jungle,10,Grass,70,Basic,Holo Rare,,-,,-,
Snorlax,Jungle,11,Colorless,90,Basic,Holo Rare,,-,,-,
Vaporeon,Jungle,12,Water,80,Stage 1,Holo Rare,,-,,-,
Venomoth,Jungle,13,Grass,70,Stage 1,Holo Rare,,-,,-,
Victreebel,Jungle,14,Grass,80,Stage 2,Holo Rare,,-,,-,
Vileplume,Jungle,15,Grass,80,Stage 2,Holo Rare,,-,,-,
Wigglytuff,Jungle,16,Colorless,80,Stage 1,Holo Rare,,-,,-,
Clefable,Jungle,17,Colorless,70,Stage 1,Rare,,-,,-,
